Question,OpenAI vs Gemini',OpenAI vs Gemini
398,3,2
399,1,0
400,1,4
401,1,4
402,1,4
403,3,3
404,1,3
405,2,3
406,0,4
407,2,3
408,1,2
409,1,4
410,1,3
411,0,4
412,1,3
413,0,4
414,1,4
415,2,2
416,3,2
417,0,5
418,1,4
419,0,4
420,2,3
421,3,2
422,0,5
423,0,5
424,1,4
425,2,1
426,0,5
427,0,1
428,1,4
429,0,5
430,1,2
431,1,2
432,0,2
433,1,4
434,2,3
435,1,4
436,0,2
437,1,4
438,0,2
439,0,1
440,3,2
441,2,3
442,2,3
443,0,5
444,2,3
445,1,4
446,1,4
447,2,3
448,1,4
449,0,5
450,1,4
451,1,4
452,0,5
453,2,3
454,2,3
455,3,0
456,2,2
457,0,4
458,1,0
459,2,3
460,0,2
461,4,1
462,0,5
463,2,2
464,2,3
465,1,2
466,2,3
467,1,4
468,1,3
469,0,4
470,1,4
471,0,5
472,0,5
473,0,3
474,1,4
475,0,4
476,0,5
477,3,2
478,0,1
479,2,3
480,0,5
481,0,5
482,0,2
483,1,4
484,2,0
485,0,2
486,0,2
487,0,5
488,1,4
489,2,3
490,0,4
491,0,4
492,1,2
493,0,3
494,1,3
495,1,2
496,0,5
497,1,4
498,0,5
499,0,5
500,2,2
501,1,3
502,0,4
503,1,3
504,1,3
505,1,4
506,0,5
507,2,3
508,1,2
509,0,5
510,0,4
511,1,4
512,1,4
513,1,2
514,1,4
515,1,1
516,1,2
517,1,4
518,1,4
519,1,4
520,1,4
521,2,2
522,2,1
523,1,2
524,2,3
525,1,4
526,1,2
527,1,4
528,0,3
529,2,2
530,1,2
531,0,5
532,1,2
533,0,5
534,1,3
535,2,3
536,0,4
537,1,4
538,1,3
539,0,5
540,2,3
541,2,2
542,0,5
543,0,5
544,1,4
545,1,2
546,1,4
547,1,2
548,0,2
549,0,5
550,0,5
551,1,0
552,1,4
553,0,1
554,2,3
555,0,5
556,0,2
557,2,3
558,0,4
559,1,4
560,0,5
561,0,5
562,0,5
563,1,4
564,1,4
565,0,5
566,0,5
567,0,5
568,1,3
569,0,2
570,1,3
571,0,3
572,3,0
573,0,5
574,1,3
575,0,3
576,0,2
577,0,4
578,1,4
579,1,4
580,0,5
581,0,5
582,2,1
583,1,2
584,1,3
585,1,2
586,1,2
587,0,3
588,1,4
589,0,5
590,0,5
591,2,2
592,0,4
593,0,5
594,1,4
595,1,4
596,1,4
597,2,3
598,1,4
599,2,1
600,1,4
601,1,4
602,0,5
603,1,4
604,1,4
605,0,2
606,0,5
607,0,5
608,1,4
609,2,3
610,1,4
611,0,5
612,2,3
613,2,3
614,1,4
615,1,4
616,1,4
617,0,1
618,0,5
619,1,4
620,0,5
621,0,4
622,0,5
623,0,3
624,0,4
625,0,3
626,0,5
627,0,5
628,1,3
629,0,4
630,2,2
631,0,3
632,1,4
633,0,5
634,1,4
635,3,2
636,2,3
637,1,4
638,1,4
639,0,3
640,0,4
641,1,2
642,0,4
643,0,4
644,1,4
645,0,4
646,0,1
647,0,5
648,1,4
649,1,2
650,1,4
651,0,3
652,1,3
653,0,3
654,0,3
655,1,4
656,0,5
657,1,4
658,1,4
659,1,4
660,1,4
661,0,5
662,0,5
663,1,4
664,0,3
665,2,3
666,0,5
667,1,4
668,0,5
669,0,5
670,1,2
671,0,2
672,2,3
673,1,4
674,1,4
675,1,4
676,1,0
677,1,1
678,1,3
679,1,4
680,0,5
681,0,5
682,1,1
683,1,4
684,0,4
685,1,4
686,1,3
687,0,1
688,0,5
689,1,4
690,2,3
691,0,4
692,0,5
693,2,2
694,0,4
695,0,4
696,0,2
697,1,4
698,1,4
699,1,4
700,1,3
701,0,5
702,0,3
703,1,3
704,1,3
705,1,3
706,0,3
707,1,3
708,0,5
709,1,4
710,0,4
711,2,3
712,2,0
713,0,5
714,0,1
715,1,0
716,1,4
717,0,4
718,0,5
719,0,5
720,0,1
721,1,0
722,0,5
723,2,2
724,0,5
725,1,4
726,0,3
727,1,4
728,1,2
729,1,3
730,2,3
731,1,4
732,1,4
733,1,4
734,1,4
735,0,5
736,1,2
737,1,2
738,0,5
739,2,3
740,0,5
741,0,5
742,1,4
743,1,0
744,1,0
745,1,2
746,2,3
747,0,5
748,0,5
749,2,3
750,1,1
751,1,2
752,3,2
753,3,1
754,1,4
755,0,3
756,2,3
757,1,4
758,0,5
759,3,2
760,3,2
761,2,3
762,0,4
763,0,5
764,1,4
765,1,4
766,1,4
767,1,4
768,1,3
769,1,4
770,2,3
771,2,3
772,2,3
773,0,5
774,0,5
775,1,4
776,1,4
777,1,3
778,1,4
779,1,3
780,1,4
781,4,1
782,4,0
783,3,1
784,1,3
785,0,5
786,2,3
787,0,4
788,1,4
789,1,4
790,1,3
791,0,1
792,1,4
793,1,4
794,1,4
795,1,4
796,1,3
797,1,4
798,0,5
799,0,3
800,2,1
801,0,5
802,1,4
803,1,4
804,0,4
805,0,2
806,2,3
807,2,0
808,0,5
809,0,5
810,1,4
811,0,5
812,1,4
813,2,0
814,3,2
815,0,3
816,0,5
817,1,4
818,2,2
819,1,4
820,2,2
821,2,2
822,1,3
823,1,5
824,1,4
825,0,4
826,1,2
827,0,5
828,3,2
829,0,1
830,2,3
831,0,5
832,0,4
833,0,3
834,0,5
835,0,2
836,1,4
837,1,4
838,2,2
839,1,4
840,3,2
841,2,2
842,1,3
843,1,4
844,0,3
845,0,4
846,1,0
847,0,3
848,0,2
849,1,4
850,0,3
851,1,2
852,0,4
853,0,4
854,0,5
855,0,5
856,2,0
857,1,4
858,0,5
859,0,5
860,1,4
861,1,4
862,0,3
863,0,5
864,0,5
865,0,3
866,3,2
867,1,4
868,3,2
869,1,4
870,0,5
871,0,3
872,0,5
873,2,3
874,0,1
875,0,4
876,3,2
877,0,3
878,1,4
879,1,3
880,2,2
881,0,5
882,4,1
883,1,4
884,0,3
885,2,3
886,1,4
887,2,1
888,2,1
889,0,2
890,0,4
891,0,4
892,0,3
893,2,3
894,0,4
895,0,4
896,0,4
897,1,4
898,1,5
899,0,5
900,0,5
901,0,5
902,0,4
903,1,3
904,1,3
905,0,5
906,0,2
907,0,4
908,1,3
909,1,3
910,1,4
911,0,4
912,1,4
913,1,0
914,0,5
915,0,5
916,0,5
917,1,3
918,0,3
919,0,4
920,1,3
921,0,5
922,1,4
923,1,4
924,3,1
925,0,3
926,0,5
927,1,1
928,0,5
929,0,5
930,2,1
931,1,3
932,1,3
933,0,4
934,1,4
935,0,3
936,1,4
937,2,3
938,1,4
939,0,4
940,3,1
941,1,5
942,1,2
943,1,4
944,1,3
945,1,4
946,0,2
947,0,3
948,1,4
949,0,4
950,0,5
951,2,3
952,5,0
953,1,4
954,0,3
955,0,4
956,0,5
957,0,4
958,2,2
959,0,3
960,1,4
961,0,4
962,0,3
963,1,0
964,2,3
965,3,2
966,2,2
967,0,3
968,0,5
969,1,3
970,1,4
971,0,5
972,0,1
973,0,5
974,0,5
975,0,5
976,0,1
977,1,4
978,1,4
979,1,0
980,1,4
981,2,3
982,0,5
983,0,5
984,1,3
985,2,3
986,0,5
987,5,0
988,1,4
989,0,2
990,2,3
991,1,0
992,1,0
993,0,5
994,2,4
995,1,4
996,0,5
997,3,2
998,4,1
999,1,0
1000,1,1
1001,2,3
1002,2,3
1003,0,5
1004,1,4
1005,0,4
1006,0,5
1007,1,3
1008,1,3
1009,0,1
1010,0,2
1011,2,1
1012,1,4
1013,0,5
1014,0,3
1015,1,4
1016,0,5
1017,0,1
1018,0,1
1019,0,3
1020,2,3
1021,1,4
1022,0,5
1023,0,4
1024,2,3
1025,0,4
1026,0,5
1027,0,2
1028,1,4
1029,1,4
1030,1,4
1031,0,5
1032,1,3
1033,1,2
1034,0,2
1035,0,5
1036,1,0
1037,1,0
1038,0,5
1039,1,4
1040,1,3
1041,0,5
