Question,OpenAI vs Gemini',OpenAI vs Gemini
274,0,5
275,1,2
276,2,2
277,1,2
278,0,3
279,0,5
280,0,5
281,0,1
282,1,4
283,0,4
284,1,4
285,0,5
286,1,2
287,0,3
288,0,4
289,1,4
290,0,5
291,0,5
292,0,2
293,0,5
294,1,1
295,2,3
296,0,4
297,1,4
298,0,2
299,0,3
300,2,2
301,1,1
302,1,4
303,1,3
304,2,2
305,3,2
306,1,4
307,1,0
308,0,1
309,1,3
310,2,3
311,1,4
312,1,1
313,0,5
314,0,5
315,2,2
316,1,4
317,1,4
318,1,2
319,0,2
320,1,4
321,0,3
322,0,2
323,0,5
324,0,4
325,0,5
326,0,4
327,1,4
328,1,1
329,0,4
330,2,3
331,1,4
332,2,3
333,0,5
334,2,1
335,0,4
336,0,2
337,0,5
338,0,5
339,2,3
340,0,5
341,0,4
342,0,4
343,0,5
344,1,4
345,0,5
346,1,4
347,1,4
348,0,5
349,1,0
350,1,4
351,0,1
352,0,5
353,1,0
354,1,4
355,0,5
356,1,4
357,0,5
358,0,5
359,0,5
360,1,1
361,0,5
362,0,4
363,0,5
364,0,5
365,1,3
366,1,4
367,0,5
368,1,3
369,1,4
370,0,5
371,1,3
372,1,4
373,2,3
374,1,4
375,0,5
376,0,4
377,0,4
378,1,4
379,0,6
380,0,5
381,0,4
382,0,5
383,0,2
384,0,5
385,0,1
386,0,2
387,2,3
388,0,5
389,0,5
390,0,5
391,0,5
392,0,4
393,2,2
394,1,2
395,1,2
396,1,1
397,1,4
398,2,3
399,1,1
400,1,2
401,0,5
402,0,4
403,2,3
404,1,2
405,1,4
406,0,5
407,0,2
408,2,3
409,1,3
410,0,4
411,0,5
412,0,4
413,2,0
414,0,3
415,1,3
416,2,3
417,0,4
418,1,2
419,0,5
420,1,2
421,0,3
422,0,4
423,0,5
424,2,3
425,1,4
426,0,5
427,0,1
428,0,1
429,1,3
430,1,4
431,0,2
432,1,3
433,0,2
434,0,3
435,1,2
436,0,4
437,0,4
438,1,3
439,1,4
440,0,3
441,1,4
442,0,2
443,2,3
444,0,5
445,1,4
446,0,5
447,2,2
448,0,1
449,1,4
450,2,2
451,0,5
452,2,3
453,2,3
454,1,4
455,0,5
456,1,4
457,0,5
458,2,3
459,0,4
460,0,4
461,0,4
462,0,5
463,0,3
464,0,5
465,1,4
466,0,3
467,1,4
468,0,4
469,1,4
470,1,2
471,1,4
472,2,3
473,1,4
474,1,4
475,0,5
476,0,5
477,1,1
478,0,2
479,0,4
480,1,4
481,1,1
482,2,3
483,0,2
484,0,2
485,1,3
486,0,5
487,0,5
488,2,3
489,0,2
490,1,4
491,0,3
492,1,0
493,1,4
494,1,4
495,1,1
496,0,5
497,1,1
498,0,3
499,0,5
500,1,3
501,1,4
502,0,5
503,1,2
504,2,3
505,0,2
506,0,3
507,3,2
508,2,1
509,1,4
510,0,4
511,0,5
512,1,3
513,0,5
514,0,5
515,2,2
516,0,4
517,0,5
518,4,1
519,1,3
520,1,4
521,0,2
522,2,3
523,0,5
524,0,5
525,1,1
526,1,4
527,0,5
528,1,2
529,0,5
530,1,4
531,0,5
532,0,5
533,0,5
534,1,4
535,3,2
536,3,2
537,0,5
538,0,3
539,1,4
540,0,5
541,1,3
542,2,2
543,0,1
544,2,3
545,2,3
546,0,3
547,0,5
548,0,3
549,0,1
550,1,1
551,0,5
552,2,1
553,0,5
554,0,3
555,1,3
556,1,4
557,1,3
558,1,4
559,1,4
560,0,4
561,0,3
562,2,3
563,0,3
564,0,2
565,0,5
566,1,3
567,0,5
568,0,5
569,2,3
570,1,2
571,0,5
572,3,1
573,1,4
574,0,5
575,0,5
576,1,4
577,1,3
578,0,1
579,1,4
580,0,1
581,0,3
582,2,2
583,1,4
584,1,4
585,2,3
586,1,4
587,1,3
588,0,5
589,1,4
590,0,4
591,0,4
592,0,3
593,1,4
594,0,5
595,0,5
596,0,5
597,1,4
598,0,5
599,2,2
600,1,4
601,2,3
602,1,3
603,2,2
604,2,3
605,2,1
606,0,4
607,0,3
608,1,4
609,0,5
610,0,5
611,0,2
612,0,5
613,1,4
614,1,4
615,0,3
616,1,1
617,0,2
618,0,5
619,1,4
620,1,4
621,2,3
622,1,4
623,1,3
624,0,4
625,1,4
626,3,1
627,2,3
628,1,1
629,3,2
630,1,4
631,1,2
632,1,2
633,2,3
634,1,3
635,3,2
636,1,2
637,1,2
638,0,5
639,2,3
640,0,5
641,0,5
642,2,1
643,0,5
644,1,4
645,0,5
646,0,5
647,2,1
648,3,2
649,0,5
650,0,4
651,1,4
652,0,3
653,1,1
654,1,4
655,2,3
656,0,5
657,1,0
658,0,1
659,1,0
660,1,4
661,2,2
662,1,4
663,0,5
664,0,1
665,1,4
666,1,3
667,2,3
668,0,2
669,1,1
670,2,3
671,0,1
672,1,4
673,0,5
674,0,3
675,0,5
676,0,4
677,2,3
678,0,3
679,0,5
680,0,5
681,0,5
682,2,3
683,0,4
684,1,3
685,3,2
686,1,4
687,1,4
688,2,1
689,0,5
690,3,2
691,2,1
692,0,5
693,0,5
694,2,3
695,1,4
696,0,2
697,0,5
698,0,2
699,1,1
700,1,4
701,1,3
702,1,4
703,1,0
704,2,3
705,0,5
706,2,3
707,0,5
708,2,2
709,0,2
710,1,4
711,1,2
712,1,4
713,1,4
714,0,5
715,1,4
716,1,1
717,4,1
718,0,4
719,0,5
720,0,5
721,1,4
722,0,5
723,0,4
724,0,5
725,1,4
726,1,0
727,0,1
728,0,5
729,0,5
730,1,4
731,0,3
732,1,4
733,3,1
734,0,5
735,3,2
736,0,4
737,0,5
738,0,1
739,0,4
740,0,3
741,1,3
742,0,5
743,0,5
744,0,4
745,1,2
746,0,5
747,0,5
748,2,3
749,1,0
750,0,5
751,0,5
752,0,5
753,0,5
754,2,2
755,1,1
756,0,4
757,2,1
758,2,3
759,1,4
760,0,2
761,2,3
762,2,2
763,0,5
764,0,3
765,0,1
766,0,3
767,2,3
768,0,5
769,1,4
770,2,3
771,0,4
772,2,3
773,1,4
774,0,2
775,1,0
776,0,2
777,0,1
778,0,1
779,0,4
780,0,5
781,0,1
782,1,0
783,1,4
784,0,2
785,1,4
786,0,4
787,0,3
788,0,4
789,0,3
790,0,4
791,0,5
792,0,5
793,0,4
794,0,5
795,0,2
796,0,3
797,0,5
798,0,3
799,0,2
800,1,4
801,0,4
802,0,4
803,0,4
804,1,2
805,0,5
806,0,5
807,0,2
808,0,3
809,0,4
810,0,5
811,0,4
812,0,3
813,1,4
814,1,3
815,0,3
816,2,3
817,0,3
818,0,5
819,2,3
820,1,4
821,0,5
822,2,3
823,0,1
824,1,3
825,0,5
826,1,4
827,1,1
828,1,3
829,1,4
830,1,4
831,2,3
832,0,1
833,0,4
834,1,4
835,0,5
836,0,5
837,2,3
838,1,0
839,1,4
840,1,4
841,1,4
842,0,5
843,1,3
844,0,1
845,1,4
846,0,1
847,1,3
848,1,4
849,3,2
850,1,4
851,1,4
852,0,4
853,1,4
854,1,4
855,1,1
856,0,5
857,0,5
858,1,4
859,0,4
860,0,5
861,0,3
862,0,2
863,1,2
864,1,3
865,1,2
866,1,2
867,0,4
868,1,4
869,1,3
870,2,2
871,0,3
872,2,2
873,1,4
874,3,2
875,1,4
876,0,1
877,1,4
878,0,4
879,1,4
880,0,5
881,1,1
882,0,5
883,1,2
884,0,5
885,0,5
886,1,4
887,2,3
888,0,5
889,1,3
890,0,5
891,1,4
892,1,4
893,0,5
894,0,3
895,1,0
896,0,3
897,1,1
898,2,3
899,0,5
900,0,2
901,0,4
902,1,4
903,1,4
904,1,2
905,0,5
906,0,5
907,0,5
908,0,4
909,0,5
910,1,2
911,2,3
912,0,2
913,1,0
914,0,5
915,1,2
916,2,3
917,1,2
918,0,1
919,0,5
920,1,4
921,1,3
922,1,1
923,1,4
924,3,2
925,2,2
926,2,3
927,0,5
928,1,4
929,1,5
930,0,3
931,2,2
932,0,4
933,0,4
934,0,5
935,1,2
936,2,4
937,0,5
938,1,3
939,0,3
940,0,3
941,0,5
942,0,5
943,0,5
944,0,5
945,0,5
946,0,5
947,2,3
948,0,1
949,0,2
950,0,5
951,0,5
952,1,4
953,1,4
954,0,4
955,1,1
956,1,3
957,1,4
958,3,1
959,0,5
960,0,4
961,0,3
962,1,2
963,1,0
964,0,5
965,0,5
966,0,5
967,0,3
968,1,1
969,0,5
970,0,5
971,0,5
972,0,5
973,0,3
974,1,4
975,0,5
976,0,5
977,1,1
978,3,2
979,0,3
980,0,5
981,0,3
982,0,5
983,2,3
984,0,5
985,2,1
986,0,5
987,0,5
988,0,4
989,1,2
990,0,2
991,0,5
992,0,5
993,1,4
994,0,2
995,1,4
996,1,2
997,0,2
998,1,4
999,1,4
1000,1,3
