Question,OpenAI vs Gemini',OpenAI vs Gemini,OpenAI vs Gemini'
169,2,3,0
170,1,2,2
171,0,3,0
172,0,3,0
173,0,4,1
174,0,0,1
175,0,3,2
176,1,1,3
177,0,1,0
178,0,1,0
179,0,2,2
180,1,2,0
181,1,1,3
182,0,1,2
183,0,0,5
184,0,1,2
185,0,3,2
186,1,0,0
187,1,1,3
188,2,0,0
189,1,0,1
190,2,3,0
191,1,1,3
192,1,3,1
193,1,1,0
194,0,3,2
195,0,1,1
196,3,1,1
197,1,3,1
198,2,3,0
199,1,1,3
200,1,1,0
201,1,4,0
202,2,2,1
203,0,2,0
204,1,1,1
205,2,0,3
206,2,0,1
207,2,2,0
208,0,3,1
209,2,3,0
210,2,0,0
211,0,2,0
212,1,4,0
213,4,0,0
214,2,0,2
215,2,2,0
216,2,2,1
217,1,0,0
218,2,1,1
219,1,2,1
220,1,3,1
221,2,2,1
222,2,2,1
223,1,2,2
224,2,2,0
225,1,3,0
226,2,1,2
227,2,1,2
228,1,2,2
229,1,3,1
230,1,1,3
231,2,0,3
232,0,3,1
233,1,2,2
234,1,2,2
235,0,2,0
236,1,1,0
237,1,1,3
238,0,2,3
239,1,3,1
240,1,1,1
241,0,3,0
242,1,3,1
243,1,0,0
244,1,3,1
245,1,0,3
246,2,1,1
247,4,1,0
248,1,3,1
249,2,0,0
250,1,3,1
251,2,3,0
252,1,0,3
253,1,2,0
254,1,3,1
255,1,1,0
256,2,1,1
257,2,2,1
258,1,1,3
259,3,2,0
260,2,0,3
261,1,4,0
262,2,1,2
263,0,1,1
264,1,1,3
265,2,2,0
266,2,2,1
267,2,2,1
268,2,3,0
269,2,2,0
270,1,1,3
271,0,2,2
272,4,1,0
273,1,2,2
274,4,1,0
275,0,1,1
276,1,1,0
277,2,1,1
278,0,3,1
279,2,2,0
280,3,2,0
281,1,3,1
282,2,0,0
283,3,2,0
284,0,1,0
285,2,2,1
286,0,2,3
287,1,0,3
288,1,3,1
289,2,2,1
290,1,1,3
291,2,1,1
292,3,1,1
293,0,3,2
294,0,3,1
295,1,0,3
296,1,0,4
297,1,2,2
298,2,2,1
299,1,1,3
300,0,0,5
301,0,2,3
302,1,1,0
303,1,2,0
304,1,4,0
305,2,1,2
306,3,1,1
307,1,1,2
308,0,3,1
309,1,2,1
310,1,3,1
311,1,2,2
312,3,1,0
313,1,1,0
314,1,4,0
315,0,2,3
316,0,1,1
317,1,0,0
318,2,1,2
319,1,0,1
320,1,2,0
321,2,2,1
322,0,4,1
323,1,2,2
324,2,3,0
325,2,2,0
326,3,2,0
327,1,2,2
328,2,3,0
329,1,2,2
330,0,2,2
331,2,1,1
332,0,5,0
333,1,1,3
334,0,0,1
335,1,1,3
336,1,2,1
337,2,3,0
338,2,3,0
339,0,2,0
340,1,3,1
341,3,1,1
342,1,0,1
343,1,2,2
344,1,1,3
345,3,2,0
346,1,0,0
347,0,4,1
348,0,5,0
349,1,0,0
350,1,1,1
351,1,2,2
352,3,2,0
353,1,3,0
354,2,2,1
355,0,3,2
356,1,3,1
357,0,3,2
358,1,3,0
359,2,1,2
360,1,3,1
361,2,1,1
362,1,0,0
363,1,3,1
364,2,0,0
365,1,0,1
366,1,2,0
367,2,0,0
368,0,5,0
369,2,0,0
370,3,2,0
371,3,1,1
372,2,0,1
373,0,2,2
374,1,4,0
375,1,1,0
376,1,1,3
377,2,1,2
378,2,0,1
379,1,4,0
380,2,3,0
381,1,0,0
382,1,2,1
383,2,1,2
384,1,3,1
385,1,1,0
386,0,2,0
387,2,0,0
388,0,0,3
389,0,2,1
390,0,0,5
391,1,3,1
392,2,2,1
393,1,3,1
394,1,3,0
395,2,2,0
396,1,1,0
397,3,1,1
398,1,2,0
399,1,3,1
400,1,1,3
401,2,1,1
402,1,2,2
403,1,1,1
404,1,2,2
405,2,1,2
406,1,0,1
407,2,0,0
408,1,1,0
409,1,0,4
410,1,0,0
411,1,1,3
412,2,3,0
413,3,1,0
414,0,1,0
415,1,0,0
416,0,5,0
417,1,4,0
418,2,2,0
419,3,2,0
420,3,0,1
421,1,2,2
422,0,3,0
423,2,3,0
424,1,1,3
425,0,2,3
426,1,2,0
427,1,2,2
428,2,2,1
429,1,2,1
430,2,0,1
431,4,0,1
432,1,0,1
433,0,0,5
434,1,1,1
435,1,2,0
436,1,4,0
437,2,2,1
438,2,0,2
439,0,0,2
440,0,0,2
441,1,1,2
442,1,0,4
443,1,1,0
444,0,0,5
445,1,2,2
446,3,2,0
447,0,5,0
448,3,2,0
449,0,2,3
450,0,2,1
451,2,0,0
452,2,1,2
453,1,1,0
454,1,2,2
455,1,3,1
456,1,3,1
457,1,2,2
458,0,1,0
459,1,2,2
460,3,0,0
461,4,1,0
462,1,1,0
463,1,3,1
464,2,0,0
465,0,1,2
466,1,1,2
467,1,3,1
468,0,1,1
469,3,2,0
470,0,2,0
471,0,0,4
472,1,0,1
473,0,5,0
474,0,1,0
475,2,1,2
476,1,3,1
477,1,0,1
478,1,4,0
479,1,2,1
480,1,2,2
481,3,1,1
482,2,3,0
483,1,2,2
484,1,1,3
485,1,1,0
486,1,1,3
487,2,0,0
488,2,3,0
489,1,1,0
490,0,1,0
491,0,2,3
492,0,3,2
493,1,3,1
494,0,5,0
495,2,1,2
496,3,1,1
497,2,0,0
498,3,2,0
499,2,3,0
500,1,4,0
501,3,1,1
502,1,2,0
503,1,0,4
504,0,0,2
505,1,0,2
506,2,1,0
507,1,1,0
508,0,3,2
509,3,2,0
510,0,1,1
511,0,1,4
512,0,0,5
513,1,1,0
514,3,2,0
515,1,1,0
516,1,0,1
517,1,2,2
518,1,1,0
519,0,2,3
520,3,1,0
521,1,1,1
522,1,4,0
523,1,1,0
524,2,1,0
525,0,1,0
526,0,0,2
527,3,1,1
528,3,2,0
529,1,3,1
530,0,0,1
531,4,0,1
532,4,1,0
533,2,3,0
534,2,0,0
535,1,3,1
536,3,2,0
537,1,2,0
538,1,4,0
539,1,0,1
540,2,2,1
541,1,4,0
542,2,1,2
543,2,0,0
544,3,2,0
545,3,1,1
546,1,4,0
547,0,2,0
548,0,0,2
549,1,2,2
550,3,1,1
551,2,3,0
552,2,2,1
553,2,0,3
554,1,3,1
555,1,3,1
556,0,1,1
557,0,2,0
558,1,2,2
559,1,2,2
560,2,2,1
561,0,1,0
562,1,3,1
563,1,2,0
564,1,3,1
565,2,2,1
566,0,1,4
567,0,4,1
568,2,2,1
569,0,4,1
570,0,0,5
571,0,2,0
572,0,0,5
573,0,1,0
574,1,1,0
575,0,4,1
576,0,3,2
577,0,5,0
578,0,2,0
579,0,3,2
580,1,0,0
581,0,5,0
582,0,4,1
583,1,1,0
584,1,1,0
585,1,0,0
586,0,1,0
587,0,0,4
588,2,1,2
589,0,1,4
590,1,3,1
591,0,1,3
592,2,3,0
593,1,2,2
594,0,2,0
595,2,0,0
596,1,0,0
597,3,1,1
598,2,2,0
599,1,1,3
600,0,0,1
601,1,1,0
602,4,1,0
603,0,4,0
604,2,3,0
605,0,5,0
606,2,2,1
607,1,3,1
608,1,3,1
609,1,0,0
610,2,2,0
611,0,4,1
612,2,1,0
613,0,2,0
614,2,3,0
615,1,2,2
616,0,2,3
617,0,4,1
618,0,4,1
619,2,0,0
620,0,4,1
621,1,1,3
622,2,2,1
623,1,3,0
624,0,5,0
625,0,2,3
626,0,0,2
627,3,2,0
628,0,0,5
629,1,4,0
630,1,4,0
631,0,0,5
632,2,3,0
633,0,1,4
634,1,1,0
635,1,3,1
636,1,4,0
637,0,2,0
638,1,4,0
639,1,1,0
640,0,5,0
641,1,1,0
642,0,4,1
643,2,3,0
644,3,2,0
645,3,1,1
646,0,0,5
647,0,0,5
648,0,1,3
649,2,2,1
650,2,3,0
651,3,2,0
652,0,1,1
653,0,5,0
654,1,3,1
655,0,0,5
656,2,2,0
657,1,0,0
658,1,0,0
659,0,3,2
660,1,3,0
661,1,1,0
662,2,0,0
663,0,1,0
664,3,1,1
665,0,1,0
666,0,4,1
667,1,3,1
668,1,2,0
669,1,1,0
670,0,0,1
671,4,1,0
672,2,2,1
673,1,3,1
674,2,2,1
675,3,0,0
676,0,1,2
677,3,2,0
678,1,3,1
679,1,4,0
680,1,1,0
681,2,2,0
682,0,2,0
683,1,0,0
684,1,2,2
685,1,3,1
686,2,2,1
687,2,0,0
688,1,4,0
689,3,2,0
690,0,3,2
691,2,3,0
692,2,1,2
693,0,1,0
694,2,1,2
695,1,3,1
696,1,4,0
697,1,4,0
698,0,1,0
699,1,0,4
700,3,1,0
701,1,0,0
702,0,1,0
703,0,5,0
704,0,4,1
705,2,2,1
706,1,4,0
707,1,2,0
708,0,3,2
709,2,3,0
710,1,2,2
711,1,3,1
712,0,2,3
713,1,0,1
714,1,2,2
715,0,4,1
716,2,2,1
717,1,2,1
718,3,2,0
719,0,4,1
720,0,2,3
721,0,0,5
722,1,2,0
723,2,2,1
724,1,0,0
725,0,1,1
726,1,0,4
727,1,1,0
728,0,4,1
729,1,0,0
730,1,0,3
731,2,3,0
732,1,3,1
733,2,3,0
734,2,2,1
735,2,0,0
736,0,1,4
737,2,1,0
738,1,3,1
739,0,1,0
740,2,2,1
741,1,2,0
742,0,1,2
743,0,1,0
744,1,1,0
745,0,4,0
746,3,1,0
747,1,1,0
748,1,0,4
749,1,1,3
750,0,1,1
751,2,2,1
752,1,3,1
753,0,0,5
754,3,2,0
755,1,4,0
756,1,0,1
757,0,1,1
758,2,2,0
759,1,1,0
760,0,1,3
761,0,5,0
762,1,4,0
763,1,4,0
764,1,0,4
765,0,0,5
766,2,2,1
767,1,1,0
768,1,0,4
769,0,5,0
770,1,3,1
771,0,1,2
772,0,0,5
773,1,1,0
774,0,4,1
775,0,1,0
776,1,0,4
777,2,3,0
778,1,3,1
779,0,1,0
780,0,0,5
781,0,0,2
782,0,1,0
783,0,3,2
784,0,1,4
785,2,1,2
786,0,1,0
787,2,3,0
788,1,4,0
789,2,1,2
790,0,1,4
791,1,4,0
792,0,4,0
793,0,2,0
794,1,3,1
795,1,1,0
796,0,1,0
797,0,2,3
798,1,2,2
799,0,0,5
800,1,2,2
801,1,2,2
802,0,5,0
803,1,2,1
804,0,1,1
805,1,2,1
806,0,2,3
807,0,3,2
808,0,0,5
809,1,1,0
810,2,3,0
811,0,3,2
812,0,1,1
813,1,1,1
814,3,2,0
815,0,2,3
816,0,0,5
817,4,2,0
818,0,5,0
819,0,2,0
820,1,4,0
821,0,5,0
822,3,2,0
823,2,2,0
824,0,0,5
825,2,1,2
826,0,2,3
827,0,0,1
828,1,1,0
829,1,4,0
830,1,1,0
831,1,1,0
832,1,1,0
833,3,3,0
834,0,0,5
835,1,2,0
836,2,2,1
837,1,4,0
838,0,0,5
839,1,4,0
840,0,2,0
841,1,1,1
842,0,2,3
843,1,3,1
844,2,3,0
845,2,1,0
846,1,2,1
847,1,1,0
848,1,1,0
849,0,5,0
850,0,0,1
851,0,4,1
852,2,2,1
853,1,2,2
854,1,1,0
855,0,2,3
856,0,1,0
857,3,1,0
858,0,3,0
859,1,2,2
860,0,0,5
861,2,2,1
862,0,2,0
863,1,1,0
864,2,2,1
865,2,1,1
866,0,1,0
867,0,5,0
868,1,1,3
869,1,0,0
870,0,2,0
871,0,1,0
872,1,3,1
873,4,1,0
874,0,3,2
875,0,3,0
876,3,2,0
877,1,3,1
878,0,3,1
879,1,4,0
880,3,2,0
881,1,4,0
882,0,0,5
883,2,3,0
884,0,5,0
885,0,0,5
886,2,2,1
887,2,2,1
888,4,1,0
889,4,1,0
890,1,1,0
891,1,2,2
892,1,0,0
893,0,0,5
894,1,1,0
895,1,1,3
896,0,4,1
897,2,2,1
898,3,0,2
899,2,2,1
900,1,0,0
901,2,2,1
902,2,3,0
903,0,5,0
904,1,4,0
905,0,1,0
906,1,2,1
907,3,2,0
908,0,0,5
909,0,3,2
910,0,2,2
911,0,1,0
912,2,2,1
913,2,1,0
914,1,4,0
915,2,3,0
916,5,0,0
917,2,2,1
918,2,2,1
919,2,0,0
920,2,3,0
921,0,1,4
922,1,0,1
923,2,2,1
924,0,5,0
925,0,0,2
926,1,4,0
927,0,2,0
928,0,0,5
929,2,0,0
930,0,0,1
931,0,0,5
932,1,3,1
933,0,2,3
934,1,4,0
935,1,1,0
936,1,0,0
937,0,1,4
938,0,0,5
939,1,1,0
940,1,4,0
941,1,3,1
942,2,1,2
943,0,0,5
944,1,2,2
945,3,2,0
946,2,2,1
947,3,0,0
948,1,1,3
949,3,0,2
950,2,0,0
951,2,2,1
952,0,4,1
953,1,4,0
954,1,1,2
955,1,2,2
956,3,1,1
957,1,2,0
958,1,2,0
959,0,1,0
960,0,3,2
961,0,0,5
962,0,0,2
963,1,3,1
964,1,1,0
965,0,1,0
966,1,4,0
967,1,0,1
968,1,2,0
969,2,3,0
970,1,3,0
971,0,4,1
972,1,1,3
973,2,2,1
974,0,1,0
975,1,1,0
976,2,0,0
977,0,0,3
978,0,3,2
979,1,4,0
980,0,1,4
981,1,1,0
982,3,2,0
983,1,3,1
984,0,0,5
985,2,3,0
986,1,1,0
987,0,4,1
988,0,0,5
989,4,2,0
990,0,5,0
991,2,3,0
992,0,3,0
993,2,1,2
994,0,5,0
995,1,1,0
996,2,0,0
997,3,1,1
998,1,1,0
999,4,1,0
1000,1,2,0
